date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:42:39	776249/776249	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:17%20GMT	https://www.classcentral.com/subject/business-software	E:/juned/www.classcentral.com/www.classcentral.com/subject/business-software.html	(from https://www.classcentral.com/)
07:42:48	759900/759900	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:27%20GMT	https://www.classcentral.com/subject/risk-management	E:/juned/www.classcentral.com/www.classcentral.com/subject/risk-management.html	(from https://www.classcentral.com/)
07:42:59	736160/736160	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:39%20GMT	https://www.classcentral.com/subject/customer-service	E:/juned/www.classcentral.com/www.classcentral.com/subject/customer-service.html	(from https://www.classcentral.com/)
07:43:00	740676/740676	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:38%20GMT	https://www.classcentral.com/subject/csr	E:/juned/www.classcentral.com/www.classcentral.com/subject/csr.html	(from https://www.classcentral.com/)
07:43:09	756020/756020	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:49%20GMT	https://www.classcentral.com/subject/innovation	E:/juned/www.classcentral.com/www.classcentral.com/subject/innovation.html	(from https://www.classcentral.com/)
07:43:10	751131/751131	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:12:49%20GMT	https://www.classcentral.com/subject/nonprofit	E:/juned/www.classcentral.com/www.classcentral.com/subject/nonprofit.html	(from https://www.classcentral.com/)
07:43:21	746428/746428	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:00%20GMT	https://www.classcentral.com/subject/operations-management	E:/juned/www.classcentral.com/www.classcentral.com/subject/operations-management.html	(from https://www.classcentral.com/)
07:43:32	788018/788018	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:11%20GMT	https://www.classcentral.com/subject/history	E:/juned/www.classcentral.com/www.classcentral.com/subject/history.html	(from https://www.classcentral.com/)
07:43:33	782047/782047	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:12%20GMT	https://www.classcentral.com/subject/literature	E:/juned/www.classcentral.com/www.classcentral.com/subject/literature.html	(from https://www.classcentral.com/)
07:43:34	816528/816528	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:11%20GMT	https://www.classcentral.com/subject/language-learning	E:/juned/www.classcentral.com/www.classcentral.com/subject/language-learning.html	(from https://www.classcentral.com/)
07:43:45	826564/826564	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:22%20GMT	https://www.classcentral.com/subject/grammar-writing	E:/juned/www.classcentral.com/www.classcentral.com/subject/grammar-writing.html	(from https://www.classcentral.com/)
07:43:53	796854/796854	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:33%20GMT	https://www.classcentral.com/subject/philosophy	E:/juned/www.classcentral.com/www.classcentral.com/subject/philosophy.html	(from https://www.classcentral.com/)
07:44:04	761531/761531	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:44%20GMT	https://www.classcentral.com/subject/religion	E:/juned/www.classcentral.com/www.classcentral.com/subject/religion.html	(from https://www.classcentral.com/)
07:44:05	793730/793730	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:43%20GMT	https://www.classcentral.com/subject/esl	E:/juned/www.classcentral.com/www.classcentral.com/subject/esl.html	(from https://www.classcentral.com/)
07:44:15	760290/760290	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:53%20GMT	https://www.classcentral.com/subject/sports	E:/juned/www.classcentral.com/www.classcentral.com/subject/sports.html	(from https://www.classcentral.com/)
07:44:16	771618/771618	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:13:54%20GMT	https://www.classcentral.com/subject/culture	E:/juned/www.classcentral.com/www.classcentral.com/subject/culture.html	(from https://www.classcentral.com/)
07:44:25	750917/750917	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:05%20GMT	https://www.classcentral.com/subject/journalism	E:/juned/www.classcentral.com/www.classcentral.com/subject/journalism.html	(from https://www.classcentral.com/)
07:44:36	761603/761603	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:16%20GMT	https://www.classcentral.com/subject/food	E:/juned/www.classcentral.com/www.classcentral.com/subject/food.html	(from https://www.classcentral.com/)
07:44:39	756892/756892	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:17%20GMT	https://www.classcentral.com/subject/linguistics	E:/juned/www.classcentral.com/www.classcentral.com/subject/linguistics.html	(from https://www.classcentral.com/)
07:44:40	766048/766048	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:17%20GMT	https://www.classcentral.com/subject/ethics	E:/juned/www.classcentral.com/www.classcentral.com/subject/ethics.html	(from https://www.classcentral.com/)
07:44:44	740481/740481	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:26%20GMT	https://www.classcentral.com/subject/library-science	E:/juned/www.classcentral.com/www.classcentral.com/subject/library-science.html	(from https://www.classcentral.com/)
07:44:58	755968/755968	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:37%20GMT	https://www.classcentral.com/subject/reading	E:/juned/www.classcentral.com/www.classcentral.com/subject/reading.html	(from https://www.classcentral.com/)
07:45:08	745466/745466	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:47%20GMT	https://www.classcentral.com/subject/crisis-management	E:/juned/www.classcentral.com/www.classcentral.com/subject/crisis-management.html	(from https://www.classcentral.com/)
07:45:09	773131/773131	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:48%20GMT	https://www.classcentral.com/subject/mechanical-engineering	E:/juned/www.classcentral.com/www.classcentral.com/subject/mechanical-engineering.html	(from https://www.classcentral.com/)
07:45:10	783223/783223	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:48%20GMT	https://www.classcentral.com/subject/electrical-engineering	E:/juned/www.classcentral.com/www.classcentral.com/subject/electrical-engineering.html	(from https://www.classcentral.com/)
07:45:19	773907/773907	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:14:59%20GMT	https://www.classcentral.com/subject/civil-engineering	E:/juned/www.classcentral.com/www.classcentral.com/subject/civil-engineering.html	(from https://www.classcentral.com/)
07:45:31	761442/761442	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:10%20GMT	https://www.classcentral.com/subject/robotics	E:/juned/www.classcentral.com/www.classcentral.com/subject/robotics.html	(from https://www.classcentral.com/)
07:45:31	750626/750626	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:10%20GMT	https://www.classcentral.com/subject/nanotechnology	E:/juned/www.classcentral.com/www.classcentral.com/subject/nanotechnology.html	(from https://www.classcentral.com/)
07:45:41	755190/755190	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:21%20GMT	https://www.classcentral.com/subject/gis	E:/juned/www.classcentral.com/www.classcentral.com/subject/gis.html	(from https://www.classcentral.com/)
07:45:42	760863/760863	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:21%20GMT	https://www.classcentral.com/subject/textiles	E:/juned/www.classcentral.com/www.classcentral.com/subject/textiles.html	(from https://www.classcentral.com/)
07:45:52	753851/753851	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:32%20GMT	https://www.classcentral.com/subject/manufacturing	E:/juned/www.classcentral.com/www.classcentral.com/subject/manufacturing.html	(from https://www.classcentral.com/)
07:45:52	752565/752565	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2020%20Feb%202023%2002:15:32%20GMT	https://www.classcentral.com/subject/bim	E:/juned/www.classcentral.com/www.classcentral.com/subject/bim.html	(from https://www.classcentral.com/)
