date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:44:14	102733/102733	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Feb%202023%2012:55:29%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-india-ugc-approved-online-degrees.png?auto=format&ixlib=php-3.3.1&w=450&s=0165b8c5462a88d74b09d1ec21533264	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-india-ugc-approved-online-degrees058b.png	(from https://www.classcentral.com/)
06:44:21	178630/178630	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2014:19:08%20GMT	https://www.classcentral.com/report/udemy-top-courses/	E:/juned/www.classcentral.com/www.classcentral.com/report/udemy-top-courses/index.html	(from https://www.classcentral.com/)
06:44:23	337827/337827	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2014:17:54%20GMT	https://www.classcentral.com/report/india-online-degrees/	E:/juned/www.classcentral.com/www.classcentral.com/report/india-online-degrees/index.html	(from https://www.classcentral.com/)
06:44:32	2137/2137	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Oct%202022%2012:28:40%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-earn-a-masters-degree-social.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=d4e61966210190218f3d938e05312286	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-earn-a-masters-degree-social3f9b.png	(from https://www.classcentral.com/)
06:44:42	257786/257786	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2015:07:32%20GMT	https://www.classcentral.com/report/mooc-based-masters-degree/	E:/juned/www.classcentral.com/www.classcentral.com/report/mooc-based-masters-degree/index.html	(from https://www.classcentral.com/)
06:44:44	26372/26372	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Feb%202023%2003:43:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-earn-a-masters-degree-social.png?auto=format&ixlib=php-3.3.1&w=450&s=b6c23348d8c869ee66cab69691933e49	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-earn-a-masters-degree-sociald381.png	(from https://www.classcentral.com/)
06:44:52	1912/1912	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Feb%202023%2015:19:21%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-microcredentials-social.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=4d748a7cdb0f7782a1ead2cee65d37d4	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-microcredentials-socialc08f.png	(from https://www.classcentral.com/)
06:45:05	31119/31119	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Feb%202023%2016:17:20%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-microcredentials-social.png?auto=format&ixlib=php-3.3.1&w=450&s=ac00a29f643507e6d6ae41dd49791dce	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-microcredentials-social5dfd.png	(from https://www.classcentral.com/)
06:45:13	563409/563409	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2015:13:54%20GMT	https://www.classcentral.com/report/list-of-mooc-based-microcredentials/	E:/juned/www.classcentral.com/www.classcentral.com/report/list-of-mooc-based-microcredentials/index.html	(from https://www.classcentral.com/)
06:45:13	4424/4424	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Nov%202022%2007:02:38%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=b8900324ced3277ae164a446990e3e9c	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social9f0a.jpg	(from https://www.classcentral.com/)
06:45:23	22290/22290	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Feb%202023%2016:17:22%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&ixlib=php-3.3.1&w=450&s=9fd82b0b3f0af3174ed36f9701d84ba2	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-sociale573.jpg	(from https://www.classcentral.com/)
06:45:33	2158/2158	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Dec%202022%2009:06:59%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-most-popular-all-time-social.png?auto=format&blur=200&ixlib=php-3.3.1&px=16&w=450&s=f33c3f92427d0d78a9fa871e5366626e	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-most-popular-all-time-social611f.png	(from https://www.classcentral.com/)
06:45:43	24655/24655	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Feb%202023%2009:13:07%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-most-popular-all-time-social.png?auto=format&ixlib=php-3.3.1&w=450&s=1f90fe42cee7ab47ab240f59cfb697e1	E:/juned/www.classcentral.com/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-most-popular-all-time-social1b82.png	(from https://www.classcentral.com/)
06:46:03	733306/733306	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:15:54%20GMT	https://www.classcentral.com/provider/udacity	E:/juned/www.classcentral.com/www.classcentral.com/provider/udacity.html	(from https://www.classcentral.com/)
06:46:14	765900/765900	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:16:04%20GMT	https://www.classcentral.com/university/gatech	E:/juned/www.classcentral.com/www.classcentral.com/university/gatech.html	(from https://www.classcentral.com/)
06:46:24	740635/740635	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:16:15%20GMT	https://www.classcentral.com/institution/linuxfoundation	E:/juned/www.classcentral.com/www.classcentral.com/institution/linuxfoundation.html	(from https://www.classcentral.com/)
06:46:35	736239/736239	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:16:25%20GMT	https://www.classcentral.com/institution/salesforce	E:/juned/www.classcentral.com/www.classcentral.com/institution/salesforce.html	(from https://www.classcentral.com/)
06:46:43	169386/169386	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2015:15:03%20GMT	https://www.classcentral.com/report/most-popular-courses-2023/	E:/juned/www.classcentral.com/www.classcentral.com/report/most-popular-courses-2023/index.html	(from https://www.classcentral.com/)
06:46:45	182695/182695	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Feb%202023%2014:14:31%20GMT	https://www.classcentral.com/report/coursera-top-courses/	E:/juned/www.classcentral.com/www.classcentral.com/report/coursera-top-courses/index.html	(from https://www.classcentral.com/)
06:46:46	558484/558484	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:16:35%20GMT	https://www.classcentral.com/about	E:/juned/www.classcentral.com/www.classcentral.com/about.html	(from https://www.classcentral.com/)
